age,name,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
44,bill hammes,blue-collar,married,secondary,no,-182,yes,yes,cellular,14,may,10,10,-1,0,unknown,no
27,addie pfeffer,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,unknown,no
59,melyna feeney,retired,married,secondary,no,1173,no,no,unknown,9,jun,77,2,-1,0,unknown,no
36,raegan kuhn,technician,divorced,secondary,no,5957,yes,no,cellular,18,nov,138,2,-1,0,unknown,no
44,zola hoppe,admin.,married,secondary,no,205,no,no,cellular,3,nov,289,1,-1,0,unknown,yes
50,abraham berge,admin.,married,secondary,no,0,no,no,cellular,4,aug,86,4,-1,0,unknown,no
41,gretchen pacocha,management,divorced,tertiary,no,369,yes,no,telephone,22,aug,9,3,-1,0,unknown,no
47,marcelo huels,admin.,married,secondary,no,1934,no,yes,cellular,14,may,225,1,364,1,failure,no
32,clovis hammes,technician,single,tertiary,no,259,no,no,cellular,22,jul,407,4,-1,0,unknown,no
38,edna torphy,blue-collar,married,secondary,no,284,yes,yes,unknown,3,jun,1030,6,-1,0,unknown,no
55,lisette blick,blue-collar,married,unknown,no,23,no,no,cellular,13,aug,123,2,-1,0,unknown,no
38,spencer wisozk,management,single,tertiary,no,1373,no,no,cellular,22,oct,119,4,-1,0,unknown,no
31,kaylie hagenes,management,single,tertiary,no,62,yes,no,cellular,18,may,175,1,293,5,failure,no
38,eldon sipes,blue-collar,divorced,secondary,no,157,no,no,unknown,9,jun,299,5,-1,0,unknown,no
29,jettie borer,unemployed,single,tertiary,no,991,no,no,cellular,5,feb,563,1,-1,0,unknown,no
55,sydnie goodwin,services,married,secondary,no,186,yes,yes,unknown,9,may,241,1,-1,0,unknown,no
35,juwan price,unemployed,married,secondary,no,977,yes,no,cellular,4,may,52,4,91,1,other,no
40,willie gerhold,self-employed,single,tertiary,no,2893,no,no,cellular,2,jun,76,3,-1,0,unknown,no
34,moriah moore,blue-collar,married,secondary,no,1897,yes,yes,cellular,19,nov,441,1,-1,0,unknown,no
32,rebecca weissnat,technician,single,tertiary,no,5514,no,no,cellular,22,apr,319,1,182,1,success,yes
33,raina mohr,blue-collar,married,secondary,no,889,yes,no,unknown,18,sep,13,1,373,6,success,no
33,samantha legros,management,married,tertiary,no,273,yes,no,unknown,16,may,803,1,-1,0,unknown,yes
37,amir rosenbaum,admin.,married,secondary,no,1193,no,no,cellular,12,may,396,2,-1,0,unknown,no
58,carmella jacobs,management,married,tertiary,no,2729,no,no,unknown,18,jun,188,1,-1,0,unknown,no
36,augustine goodwin,admin.,single,secondary,no,0,no,no,cellular,20,apr,637,1,-1,0,unknown,no
42,general funk,blue-collar,married,secondary,no,230,yes,no,unknown,5,jun,175,7,-1,0,unknown,no
34,mathew denesik,technician,single,secondary,no,2729,yes,no,cellular,6,apr,945,1,139,1,success,no
35,jaime auer,management,married,tertiary,no,317,yes,no,unknown,23,may,162,3,-1,0,unknown,no
60,dejon hartmann,housemaid,married,primary,no,517,no,no,unknown,12,jun,1178,3,-1,0,unknown,no
50,yvonne wilkinson,management,married,tertiary,no,-470,yes,no,cellular,8,may,506,2,170,3,failure,no
28,vladimir towne,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,2,-1,0,unknown,yes
27,carmella cole,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,jul,116,3,-1,0,unknown,no
37,rosalyn bruen,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,-1,0,unknown,yes
31,dakota beahan,technician,married,tertiary,no,636,yes,no,cellular,4,may,352,4,-1,0,unknown,yes
34,karli hessel,services,married,secondary,no,1076,no,no,cellular,12,may,152,1,182,6,success,yes
38,sonny swaniawski,management,married,tertiary,no,126,yes,no,unknown,21,may,164,2,-1,0,unknown,no
32,irma ritchie,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,unknown,no
37,everardo kuphal,technician,married,secondary,no,430,no,no,cellular,27,aug,154,4,-1,0,unknown,no
33,declan kiehn,admin.,married,secondary,no,-6,yes,no,unknown,7,may,566,2,-1,0,unknown,no
71,clay rempel,technician,married,tertiary,no,383,no,no,cellular,27,oct,327,2,183,3,success,no
27,ryder schumm,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,unknown,no
38,clarissa boehm,blue-collar,married,primary,no,2569,no,no,unknown,9,jun,172,1,-1,0,unknown,no
34,theodora schulist,technician,single,secondary,no,201,no,no,cellular,22,jul,257,2,-1,0,unknown,no
54,opal koelpin,retired,divorced,tertiary,no,0,no,no,unknown,13,may,618,1,-1,0,unknown,yes
30,oran schultz,blue-collar,married,secondary,no,6,yes,no,cellular,28,jan,241,3,-1,0,unknown,no
35,newell pagac,entrepreneur,single,secondary,no,475,no,yes,cellular,21,jul,936,4,-1,0,unknown,no
33,camren kuhlman,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,no
36,rhianna bosco,management,married,secondary,no,1825,yes,no,cellular,14,may,24,1,346,1,failure,no
59,buddy rice,self-employed,married,tertiary,no,185,no,no,cellular,22,jun,177,5,138,1,failure,no
72,romaine sporer,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,no
64,wilson cole,management,married,tertiary,no,679,no,no,telephone,22,apr,135,3,-1,0,unknown,no
53,walton dickens,technician,divorced,secondary,no,320,no,no,cellular,9,jul,175,1,-1,0,unknown,no
35,isaiah davis,management,single,tertiary,no,2988,yes,no,cellular,25,may,179,1,-1,0,unknown,no
58,elyssa schultz,self-employed,married,secondary,no,1407,yes,no,unknown,30,may,58,1,-1,0,unknown,no
40,therese reichel,technician,married,secondary,no,1270,no,no,cellular,17,apr,342,2,-1,0,unknown,no
41,janis littel,services,divorced,secondary,no,654,yes,no,cellular,13,may,139,2,-1,0,unknown,no
48,makayla bogan,retired,married,primary,no,5173,yes,no,unknown,18,jun,88,8,-1,0,unknown,no
44,daniella gerlach,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,aug,210,3,-1,0,unknown,no
39,assunta mohr,blue-collar,married,unknown,no,0,no,no,cellular,2,feb,731,1,193,3,failure,no
61,serenity cartwright,management,married,tertiary,no,6016,no,no,cellular,2,feb,670,3,-1,0,unknown,yes
36,liliane kassulke,entrepreneur,married,primary,no,177,yes,no,unknown,12,may,63,5,-1,0,unknown,no
28,ebony jones,management,married,tertiary,no,3694,no,yes,cellular,8,jul,70,2,-1,0,unknown,no
58,daryl gerhold,retired,single,secondary,no,1640,no,yes,cellular,4,feb,72,6,274,4,failure,no
60,wilson keebler,admin.,divorced,secondary,no,174,yes,no,cellular,15,may,241,1,364,1,failure,no
66,delfina o'reilly,admin.,single,secondary,no,10177,no,no,cellular,5,may,272,4,-1,0,unknown,no
36,jerrell heller,management,single,tertiary,no,490,no,no,cellular,28,aug,207,8,98,1,failure,yes
49,anya lind,self-employed,married,secondary,no,2576,yes,no,cellular,15,may,64,6,-1,0,unknown,no
40,winifred mitchell,services,married,secondary,no,0,no,no,unknown,12,jun,543,2,-1,0,unknown,no
23,tyreek schroeder,technician,single,secondary,no,598,no,no,cellular,30,apr,166,1,-1,0,unknown,no
29,morton ortiz,management,single,tertiary,no,15459,no,no,cellular,26,may,245,3,97,7,success,no
44,makenzie jacobi,blue-collar,married,primary,no,271,yes,yes,unknown,9,may,94,1,-1,0,unknown,no
54,oliver schimmel,unknown,married,unknown,no,2508,no,no,unknown,20,jun,34,8,-1,0,unknown,no
47,chelsie aufderhar,blue-collar,married,primary,no,320,no,no,telephone,30,jul,203,2,-1,0,unknown,no
33,aida kessler,admin.,married,tertiary,no,640,no,no,cellular,24,jul,318,1,-1,0,unknown,no
30,adela jakubowski,self-employed,married,secondary,no,1772,yes,no,cellular,13,apr,158,4,-1,0,unknown,no
27,ellsworth jast,admin.,single,secondary,no,15,no,yes,cellular,21,jul,177,1,-1,0,unknown,no
49,roxane kulas,management,divorced,tertiary,no,2370,yes,yes,unknown,17,nov,56,1,103,2,other,no
27,sheila hansen,services,single,secondary,no,201,yes,no,unknown,4,jun,172,2,-1,0,unknown,no
51,noemi sawayn,blue-collar,married,secondary,no,160,yes,no,cellular,7,may,136,1,359,1,failure,no
32,keira mitchell,admin.,divorced,secondary,yes,5,yes,yes,cellular,18,may,82,3,363,2,other,no
30,ayden kilback,blue-collar,single,secondary,no,75,yes,no,unknown,16,may,123,1,-1,0,unknown,no
33,josie ondricka,admin.,married,secondary,no,4902,yes,no,cellular,20,nov,110,1,-1,0,unknown,no
27,ola rau,blue-collar,single,primary,no,-79,yes,no,unknown,30,may,385,5,-1,0,unknown,no
75,malinda bode,retired,divorced,secondary,no,1341,no,no,cellular,18,dec,415,7,-1,0,unknown,yes
37,adaline abernathy,services,divorced,secondary,no,490,yes,no,cellular,2,feb,73,1,-1,0,unknown,no
36,fanny toy,technician,single,secondary,no,1521,yes,no,unknown,16,jun,243,2,-1,0,unknown,no
37,roderick ruecker,blue-collar,married,secondary,no,131,yes,no,unknown,9,may,137,2,-1,0,unknown,no
35,ursula hermiston,management,married,tertiary,no,8,yes,no,unknown,23,may,55,4,-1,0,unknown,no
32,coby mcglynn,services,married,secondary,no,-632,yes,yes,cellular,20,apr,18,5,-1,0,unknown,no
32,mikel turner,admin.,single,secondary,no,116,no,yes,cellular,16,jul,255,2,-1,0,unknown,no
35,may king,admin.,married,primary,no,189,yes,no,cellular,11,may,95,1,-1,0,unknown,no
31,waino hilpert,blue-collar,married,primary,no,2,yes,yes,cellular,10,jul,112,1,-1,0,unknown,no
28,esther heller,blue-collar,single,secondary,no,4229,yes,yes,cellular,5,may,205,2,-1,0,unknown,no
27,mack ward,services,married,secondary,no,54,yes,no,cellular,18,may,97,1,370,1,failure,no
22,mohammad mayert,student,single,unknown,no,549,no,no,cellular,2,sep,154,1,-1,0,unknown,no
35,hayden quitzon,blue-collar,married,primary,no,298,yes,no,cellular,13,may,135,2,370,2,failure,no
69,gerson schoen,retired,married,primary,no,579,no,no,cellular,14,aug,230,1,-1,0,unknown,no
37,libby wolff,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,17,nov,349,1,-1,0,unknown,no
45,jessie anderson,admin.,single,secondary,no,0,yes,no,cellular,8,may,38,1,-1,0,unknown,no
47,colin simonis,management,married,tertiary,no,109,yes,no,cellular,22,jul,268,1,-1,0,unknown,no
52,leopold corwin,management,married,tertiary,no,-11,yes,no,cellular,11,may,94,4,-1,0,unknown,no
33,enoch paucek,services,married,secondary,no,90,yes,no,cellular,28,jul,263,2,-1,0,unknown,no
60,elza goodwin,blue-collar,married,primary,no,493,no,no,cellular,18,aug,671,4,-1,0,unknown,yes
33,maxie volkman,management,divorced,secondary,no,1897,yes,yes,unknown,2,jun,197,1,-1,0,unknown,no
44,gene kub,admin.,married,secondary,no,2403,yes,no,cellular,28,jan,180,2,-1,0,unknown,no
38,neal lang,entrepreneur,married,secondary,no,868,no,no,cellular,20,nov,452,2,-1,0,unknown,no
54,domingo hills,entrepreneur,married,secondary,no,653,yes,no,unknown,15,may,352,1,-1,0,unknown,no
32,carleton bailey,unemployed,divorced,primary,no,0,no,no,cellular,15,jul,175,4,-1,0,unknown,no
33,tess hartmann,technician,married,secondary,no,0,yes,yes,cellular,19,nov,163,2,-1,0,unknown,no
55,chadd gulgowski,services,divorced,secondary,no,218,yes,no,unknown,29,may,200,2,-1,0,unknown,no
51,carlos reinger,blue-collar,married,primary,no,5050,no,yes,unknown,16,jun,75,7,-1,0,unknown,no
48,fleta adams,blue-collar,married,secondary,no,741,yes,no,cellular,16,apr,227,1,-1,0,unknown,no
37,terrell upton,services,single,secondary,no,1050,yes,no,cellular,3,feb,586,3,-1,0,unknown,no
33,maximus schamberger,services,single,secondary,no,-56,no,yes,cellular,10,jul,119,5,-1,0,unknown,no
30,rosemarie stroman,blue-collar,married,primary,no,1,yes,yes,telephone,22,jul,80,2,-1,0,unknown,no
43,robin jacobson,blue-collar,married,primary,no,-98,yes,yes,cellular,12,may,112,2,330,3,other,no
49,mellie hansen,technician,married,secondary,no,4667,yes,no,unknown,19,may,130,2,-1,0,unknown,no
54,keara o'kon,unemployed,married,primary,no,541,yes,no,cellular,3,feb,237,3,-1,0,unknown,no
31,estrella legros,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,377,8,-1,0,unknown,no
54,loren kub,unknown,married,unknown,no,895,no,no,cellular,7,oct,335,1,-1,0,unknown,yes
36,ottis hahn,unemployed,married,secondary,no,-129,yes,no,cellular,29,jul,121,3,-1,0,unknown,no
30,pierce von,admin.,married,secondary,no,0,no,no,cellular,15,jul,127,5,-1,0,unknown,no
27,mohammad o'conner,technician,single,secondary,no,158,no,no,unknown,1,jul,650,2,-1,0,unknown,yes
30,major weimann,admin.,married,secondary,no,122,yes,no,unknown,16,may,107,1,-1,0,unknown,no
30,tyshawn ratke,blue-collar,married,secondary,no,673,yes,no,unknown,20,may,610,2,-1,0,unknown,no
35,jaida hudson,technician,divorced,secondary,no,0,no,no,cellular,25,aug,124,4,-1,0,unknown,no
33,baron leffler,services,divorced,secondary,no,411,yes,no,unknown,8,may,216,1,-1,0,unknown,no
43,scottie gutkowski,blue-collar,divorced,primary,no,-97,yes,yes,cellular,31,jul,747,4,-1,0,unknown,no
41,jaquan halvorson,blue-collar,married,secondary,no,-217,yes,no,cellular,11,may,313,1,349,3,other,no
41,salvatore mante,management,divorced,tertiary,no,5037,no,no,cellular,23,apr,252,9,185,5,other,yes
46,taylor schulist,admin.,divorced,secondary,no,2232,no,no,cellular,13,feb,121,1,-1,0,unknown,yes
54,earl durgan,blue-collar,married,secondary,no,-932,yes,no,unknown,7,may,799,1,-1,0,unknown,no
32,hoyt pouros,management,married,tertiary,no,913,yes,no,cellular,23,jun,883,1,674,4,failure,no
30,kayla becker,technician,single,tertiary,no,236,yes,no,unknown,16,may,197,1,-1,0,unknown,no
40,cedrick harber,entrepreneur,married,primary,no,0,yes,no,cellular,11,jul,271,2,-1,0,unknown,no
30,cleve lehner,blue-collar,married,primary,no,2581,no,no,unknown,12,may,221,2,-1,0,unknown,no
27,jack abshire,admin.,married,secondary,no,639,no,yes,cellular,14,jul,243,3,-1,0,unknown,no
41,alvena mckenzie,blue-collar,married,primary,no,849,yes,no,unknown,15,may,72,1,-1,0,unknown,no
54,america kiehn,services,married,secondary,no,386,yes,no,cellular,2,aug,155,2,-1,0,unknown,no
32,aileen kessler,management,single,tertiary,no,1218,yes,no,telephone,28,jan,70,2,-1,0,unknown,no
31,conor gerlach,management,married,tertiary,no,2603,yes,no,cellular,11,feb,280,4,-1,0,unknown,yes
42,melyssa rutherford,blue-collar,married,secondary,no,-921,yes,no,unknown,26,may,115,2,-1,0,unknown,no
48,alexa mcdermott,admin.,married,primary,no,607,no,no,unknown,20,jun,29,2,-1,0,unknown,no
34,reyna kreiger,blue-collar,married,primary,no,79,yes,no,cellular,14,may,406,2,-1,0,unknown,no
55,orval feest,technician,divorced,secondary,no,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no
49,lillie price,technician,married,secondary,no,1091,no,no,telephone,30,jul,47,2,-1,0,unknown,no
46,dwight connelly,management,divorced,tertiary,no,743,no,no,unknown,5,jun,36,2,-1,0,unknown,no
47,rosa schaefer,entrepreneur,married,unknown,no,209,yes,no,unknown,6,may,135,2,-1,0,unknown,no
24,arthur hilll,management,single,tertiary,no,172,no,no,cellular,3,jul,67,2,-1,0,unknown,no
58,ayana bosco,entrepreneur,married,secondary,no,2,no,no,unknown,16,jun,684,1,-1,0,unknown,no
32,chester krajcik,management,single,tertiary,no,41,no,no,cellular,21,aug,686,5,-1,0,unknown,yes
25,dagmar wilderman,student,single,secondary,no,1116,yes,no,cellular,2,mar,170,3,-1,0,unknown,no
49,rossie hilll,blue-collar,married,secondary,no,-55,no,no,unknown,17,jun,150,3,-1,0,unknown,no
59,emanuel mante,retired,divorced,secondary,no,5845,no,no,cellular,14,may,1060,2,-1,0,unknown,yes
30,sylvester mueller,management,single,tertiary,no,329,yes,no,unknown,6,jun,122,16,-1,0,unknown,no
46,alessandra larson,blue-collar,married,secondary,no,494,yes,no,unknown,26,may,724,1,-1,0,unknown,no
42,maria haley,management,married,unknown,no,1519,no,no,cellular,19,oct,230,1,92,1,success,yes
37,sim thompson,entrepreneur,married,tertiary,no,2685,no,no,unknown,20,jun,187,2,-1,0,unknown,no
44,rosalyn kuvalis,blue-collar,married,primary,no,-14,yes,yes,unknown,19,may,179,4,-1,0,unknown,no
49,kathryne hilpert,services,married,secondary,no,5673,no,yes,cellular,4,aug,357,3,-1,0,unknown,no
41,rhoda gislason,blue-collar,married,secondary,no,1459,no,no,unknown,5,jun,82,1,-1,0,unknown,no
48,brock abbott,technician,married,tertiary,no,0,no,no,telephone,26,aug,176,15,-1,0,unknown,no
31,kattie anderson,management,married,secondary,no,625,yes,no,cellular,7,apr,424,1,138,1,failure,no
37,rosalyn johnson,student,married,unknown,no,0,no,no,unknown,18,jun,115,1,-1,0,unknown,no
51,camila mante,services,married,secondary,no,867,yes,no,cellular,3,feb,177,2,211,3,failure,no
80,gabrielle bernier,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,yes
32,bettye cassin,management,single,tertiary,no,151,yes,no,unknown,6,may,118,1,-1,0,unknown,no
48,marianne nolan,services,married,primary,yes,-583,yes,no,unknown,2,jun,25,7,-1,0,unknown,no
49,dillan greenfelder,blue-collar,married,tertiary,no,1784,no,no,unknown,12,jun,753,1,-1,0,unknown,no
30,eriberto hills,management,married,tertiary,no,3134,yes,no,cellular,17,jul,124,1,-1,0,unknown,no
27,edgardo reichert,self-employed,single,secondary,no,49,yes,no,cellular,30,jan,208,2,-1,0,unknown,no
34,ofelia rodriguez,technician,married,secondary,no,-346,no,no,cellular,13,aug,136,4,-1,0,unknown,no
49,brigitte doyle,management,married,secondary,no,1623,yes,no,cellular,19,nov,1081,2,-1,0,unknown,yes
48,nicola nicolas,management,married,tertiary,no,60,no,no,telephone,7,may,376,2,339,7,failure,no
40,kaley west,services,married,secondary,no,17,no,no,cellular,4,jun,78,1,-1,0,unknown,no
38,roosevelt schiller,blue-collar,married,secondary,no,2008,yes,no,cellular,18,nov,354,1,-1,0,unknown,no
46,josh hauck,blue-collar,married,primary,no,91,yes,no,cellular,6,may,29,1,356,2,failure,no
41,leonie gislason,entrepreneur,married,tertiary,no,171,yes,no,cellular,19,nov,209,1,191,4,failure,no
28,etha wolf,management,single,tertiary,no,1027,yes,no,cellular,14,may,433,1,-1,0,unknown,no
51,marcellus kertzmann,services,married,unknown,no,5801,yes,no,unknown,29,may,147,2,-1,0,unknown,no
33,jeanne greenholt,blue-collar,divorced,primary,no,142,yes,no,telephone,11,may,41,2,300,5,failure,no
26,moshe doyle,management,single,tertiary,no,205,no,no,unknown,26,may,111,1,-1,0,unknown,no
34,uriel beahan,admin.,single,secondary,no,852,no,no,cellular,14,apr,108,2,-1,0,unknown,no
27,kurt stokes,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,may,411,2,-1,0,unknown,no
42,alena gusikowski,self-employed,married,secondary,no,97,no,no,cellular,10,jul,108,2,-1,0,unknown,no
45,aaron predovic,admin.,married,secondary,no,204,yes,no,cellular,3,jun,224,2,-1,0,unknown,yes
31,june koch,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown,no
32,talon brown,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes
39,letha johnston,blue-collar,married,primary,no,1564,no,no,unknown,17,jun,57,1,-1,0,unknown,no
26,buster gleichner,blue-collar,single,secondary,no,856,yes,yes,cellular,30,jul,95,5,-1,0,unknown,no
40,mustafa stanton,management,single,tertiary,no,1509,no,no,cellular,15,mar,144,2,124,1,failure,no
52,maegan littel,services,married,secondary,no,-888,no,no,cellular,16,jul,135,1,-1,0,unknown,no
40,zola stiedemann,technician,single,tertiary,no,226,no,no,cellular,15,jan,176,2,-1,0,unknown,no
48,tina powlowski,technician,married,secondary,no,127,no,yes,cellular,7,aug,524,5,-1,0,unknown,no
31,aaliyah mann,services,married,secondary,no,413,yes,no,unknown,13,may,65,1,-1,0,unknown,no
27,finn yundt,admin.,married,secondary,no,710,yes,yes,cellular,6,may,653,1,334,2,success,yes
47,jaleel abbott,technician,married,secondary,no,1233,yes,no,unknown,11,sep,91,1,100,2,other,yes
28,patricia schmitt,management,single,secondary,no,171,no,no,cellular,10,mar,93,1,-1,0,unknown,yes
40,duncan schneider,management,divorced,tertiary,no,69,yes,no,cellular,6,may,503,2,280,2,failure,no
34,gennaro breitenberg,admin.,married,secondary,no,1499,yes,no,cellular,13,apr,186,1,327,2,failure,no
29,teagan dubuque,self-employed,married,tertiary,no,751,yes,no,unknown,23,may,121,2,-1,0,unknown,no
36,gage crist,management,married,tertiary,no,61,no,yes,cellular,19,aug,452,2,-1,0,unknown,no
83,zula bednar,retired,married,primary,no,425,no,no,telephone,22,jun,883,1,140,1,failure,yes
55,crawford hickle,services,divorced,primary,no,2923,yes,no,unknown,15,may,104,2,-1,0,unknown,no
43,alexandrea yost,management,divorced,tertiary,no,99,no,no,cellular,29,jan,24,3,-1,0,unknown,no
23,emelia windler,student,single,secondary,no,1021,no,no,telephone,19,jun,79,9,-1,0,unknown,no
44,clotilde ondricka,technician,married,tertiary,no,1146,no,no,cellular,4,jul,178,2,-1,0,unknown,no
58,asa langworth,blue-collar,married,primary,no,781,yes,no,cellular,15,may,74,2,-1,0,unknown,no
29,ashtyn considine,admin.,single,secondary,no,1448,no,no,cellular,10,mar,217,1,184,7,other,no
30,wilhelm reynolds,management,single,tertiary,no,604,no,yes,cellular,2,feb,475,1,-1,0,unknown,no
29,oliver schinner,admin.,single,secondary,no,-194,yes,no,cellular,7,may,127,1,-1,0,unknown,no
41,myrtle kautzer,technician,married,secondary,no,0,no,no,cellular,11,mar,101,1,-1,0,unknown,no
35,lila harvey,housemaid,married,primary,no,0,yes,no,cellular,14,jul,340,3,-1,0,unknown,no
31,taya pouros,technician,single,secondary,no,1014,yes,no,cellular,23,jul,158,4,-1,0,unknown,no
27,felicita altenwerth,admin.,single,tertiary,no,73,no,no,cellular,29,jan,242,1,-1,0,unknown,no
47,sabrina wintheiser,services,married,secondary,no,2597,yes,no,unknown,16,may,323,1,-1,0,unknown,no
53,herman bradtke,self-employed,married,tertiary,no,2627,yes,yes,unknown,16,jun,18,30,-1,0,unknown,no
34,haskell sauer,management,married,tertiary,no,1906,yes,no,cellular,14,jul,68,3,-1,0,unknown,no
34,bennett hammes,blue-collar,married,primary,no,-319,yes,yes,cellular,9,jul,134,4,-1,0,unknown,no
36,marcelo stamm,management,married,tertiary,no,-296,yes,no,cellular,14,may,113,3,-1,0,unknown,no
40,antonetta littel,technician,married,secondary,no,169,yes,no,cellular,18,aug,43,4,-1,0,unknown,no
37,doyle welch,self-employed,single,tertiary,no,556,no,no,unknown,17,jun,200,2,-1,0,unknown,no
65,modesto hagenes,retired,divorced,unknown,no,300,no,no,cellular,2,aug,245,2,-1,0,unknown,no
53,rozella bergnaum,technician,divorced,secondary,no,751,yes,no,unknown,16,may,343,4,-1,0,unknown,no
28,emanuel stokes,technician,single,secondary,no,126,no,no,cellular,3,mar,229,1,-1,0,unknown,no
33,maximilian smith,technician,divorced,tertiary,no,-386,yes,no,unknown,23,may,530,1,-1,0,unknown,no
56,chaz schultz,blue-collar,married,primary,no,379,no,no,cellular,13,aug,58,5,-1,0,unknown,no
45,rossie spinka,self-employed,married,secondary,no,706,no,no,cellular,30,apr,78,2,176,1,success,no
39,kiara langworth,technician,married,secondary,no,9121,no,no,unknown,5,jun,147,1,-1,0,unknown,no
28,ellie daniel,management,single,tertiary,no,1466,yes,no,cellular,25,jul,40,1,-1,0,unknown,no
36,allie bode,blue-collar,married,primary,no,0,yes,no,cellular,18,nov,618,2,-1,0,unknown,no
41,eulah ritchie,blue-collar,married,primary,no,951,yes,no,cellular,20,apr,23,4,-1,0,unknown,no
46,rudy schmidt,admin.,married,secondary,no,368,no,no,cellular,20,aug,293,1,90,4,other,yes
41,khalil pfeffer,blue-collar,married,secondary,no,121,yes,no,cellular,13,may,16,6,176,5,other,no
59,moriah skiles,services,married,secondary,no,204,no,no,cellular,23,jul,286,2,-1,0,unknown,no
24,henry johnston,admin.,married,secondary,no,299,yes,no,cellular,6,may,209,1,321,1,failure,no
34,tressie heathcote,management,married,tertiary,no,4170,yes,no,unknown,21,may,935,1,-1,0,unknown,no
40,lowell marvin,blue-collar,married,primary,no,-335,yes,no,unknown,27,may,260,1,-1,0,unknown,no
42,edmond gusikowski,admin.,married,secondary,no,3165,yes,no,unknown,16,jun,298,4,-1,0,unknown,no
50,blanca marquardt,services,married,secondary,no,254,yes,no,cellular,15,apr,397,2,337,1,failure,no
25,loren mertz,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,no
51,berta corwin,services,divorced,secondary,no,518,yes,no,telephone,17,nov,76,1,-1,0,unknown,no
50,lavon predovic,management,married,tertiary,no,85,no,yes,cellular,1,jun,141,1,-1,0,unknown,no
37,pietro green,blue-collar,married,unknown,no,603,yes,no,unknown,23,may,773,2,-1,0,unknown,no
21,demario schulist,services,single,secondary,no,361,no,no,telephone,5,jun,329,1,95,1,other,no
52,litzy cassin,blue-collar,married,secondary,no,-98,yes,no,unknown,7,may,423,1,-1,0,unknown,no
55,breanne collins,retired,married,primary,no,4424,no,no,cellular,5,aug,67,4,-1,0,unknown,no
26,leanne herman,technician,single,secondary,no,2610,yes,yes,unknown,2,jun,626,1,-1,0,unknown,no
38,shawna schinner,technician,married,tertiary,no,3234,no,no,cellular,18,nov,578,2,-1,0,unknown,yes
32,shawn renner,blue-collar,married,secondary,no,687,yes,no,unknown,9,may,61,1,-1,0,unknown,no
31,nia labadie,blue-collar,married,secondary,no,631,yes,no,unknown,23,may,248,4,-1,0,unknown,no
34,savanah klein,technician,single,secondary,no,341,no,yes,cellular,29,jan,136,1,262,3,failure,no
33,ewell upton,technician,single,tertiary,no,316,no,no,cellular,21,aug,126,3,-1,0,unknown,no
35,duane o'conner,technician,married,secondary,no,2,no,no,telephone,28,jan,653,3,-1,0,unknown,no
44,fermin gislason,management,married,unknown,no,415,yes,no,telephone,14,may,7,7,-1,0,unknown,no
48,rachael dare,management,divorced,tertiary,no,507,yes,no,cellular,9,apr,528,1,-1,0,unknown,no
29,russ kuhic,blue-collar,married,secondary,no,912,yes,no,cellular,13,may,785,1,-1,0,unknown,no
50,alice fay,management,married,tertiary,no,0,no,no,cellular,9,jul,243,5,-1,0,unknown,no
37,chris predovic,blue-collar,married,primary,no,37,yes,no,cellular,13,may,24,2,362,1,other,no
44,josh conroy,admin.,single,secondary,no,2524,no,no,unknown,19,jun,82,1,-1,0,unknown,no
36,mandy lesch,unemployed,single,tertiary,no,9019,yes,no,unknown,11,jun,952,3,-1,0,unknown,no
49,melyssa armstrong,blue-collar,divorced,unknown,no,39,yes,no,cellular,13,may,27,5,-1,0,unknown,no
31,reinhold emmerich,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
49,grover dooley,technician,divorced,secondary,no,265,yes,no,unknown,12,may,274,6,-1,0,unknown,no
35,evan hermann,blue-collar,single,secondary,no,0,yes,no,cellular,16,apr,1174,1,345,4,other,yes
57,emilia murazik,admin.,divorced,unknown,no,4012,no,no,cellular,20,nov,915,1,-1,0,unknown,no
42,kraig schmidt,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115,1,-1,0,unknown,no
36,beau leuschke,blue-collar,divorced,secondary,no,-140,yes,no,unknown,26,may,222,2,-1,0,unknown,no
75,stephanie hamill,retired,divorced,primary,no,852,no,no,cellular,15,mar,341,1,-1,0,unknown,no
